No,Latitude,Longitude  ,,,
1,-6.096333333,106.895,,,
2,-6.095,106.8851667,,,
3,-6.083333333,106.8824167,,,
4,-6.047,106.8825,,,
5,-6,106.8838667,,,
6,-5.566666667,106.98,,,
7,-5.276666667,107.0166667,,,
8,-4.978333333,107.1716667,,,
9,-3.5,107.5,,,
10,-3.066666667,107.3133333,,,
11,-3,107.305,,,
12,-2.183333333,107.0916667,,,
13,-2.05,106.95,,,
14,0.753333333,105.1366667,,,
15,1.358333333,104.6,,,
16,1.426666667,104.455,,,
17,1.316666667,104.3333333,,,
18,1.253333333,103.975,,,
19,1.225,103.8916667,,,
20,1.21,103.8533333,,,
21,1.2075,103.82,,,
22,1.231666667,103.7866667,,,
23,1.262166667,103.7666667,,,
24,1.280166667,103.7446667,,,
25,1.287333333,103.749,,,
26,1.28855,103.75755,,,
27,1.282583333,103.7632167,,,
